队伍,1,2,3,4,5,6,7,8
NYLOO,1905060752,1945049360,2008280720,2043471504,-,2991650320,3046142096,3065569168
Nessie Hunters,1945184528,2008472208,2043470992,2085831312,2364408848,2991650320,3022248720,-
穷则独善其身,2085831312,2043169552,1937146000,1909832720,2998278160,3045910928,-,-
枪之遗址,1988617488,2008280720,2173618192,3034432016,3087461904,3019373328,2023219216,-
枪哥爷爷,1921047952,1988500880,2012122896,2065050896,2997249296,2997455504,2991170960,-
happycs3,1901416976,1901803152,1988500880,2090223760,2956702480,2999310352,3045945872,3046140560
枪哥二爷爷,1947472528,1948828816,1999196048,2064591760,2997394704,2997455504,2991617424,-
佰日萌新,1945243664,1945306256,1988614928,2064591760,2972450960,2994477200,3021836560,3045945872
这是什么体系,1947472528,1920521232,1988614928,2023216528,2368491920,2998278160,-,-
熊猫人,1937146000,2043470992,2183877136,-,2994851088,3019373328,9221858342798983438,-
一分够了,1910062608,1957197328,2003477904,2065050512,2999310352,3021836560,9210036747211721102,3085120656
66574quad,2043471504,1913272976,2368491920,3045910928,2103091088,1988617488,-,-
卡皮哈皮,1921319184,1945243664,1948828816,2023216528,3019373200,3034432016,9221858342798983438,-
仙阁,1945304592,1980334224,2064919184,2065050512,2963642512,2991170960,2991617424,-
DP7.0,1910062608,1945307408,1980334224,2064583696,2364408848,2972014864,3065569168,-
圣盾嘲讽,1913272976,1945049360,1980172560,2173618192,2963642512,2997249296,2997394704,-
Mirsir,1901803152,1921047952,1957057680,2064605456,3087461904,2994851088,3019373200,-
10个188再别说了,1957197328,1988761360,2064583696,2064919184,2972450960,3019245584,9210036747211721102,3046140560
Sync squad,1957057680,2012122896,2023218448,2090223760,2972014864,3022248720,3046142096,-
唐仁国,1945304592,1945307408,1988761360,2003477904,-,-,-,-
秽土转生/donk干拉,1901416976,2023218448,2064605456,2065050896,-,-,-,-
Jurmac,1905060752,1980172560,2023219216,2103091088,2956702480,2994477200,3019245584,3085120656
有请下一队,1909832720,1945184528,2183877136,-,-,-,-,-
暴打说书人,2008472208,2043169552,-,-,-,-,-,-
IECS,1945306256,1999196048,1920521232,1921319184,-,-,-,-
